,Division,Line,Services,Opened [4][5],
Third Avenue–138th Street**‡,,A (IRT),Pelham Line,6  <6>,"August 1, 1918[4]"
Third Avenue–149th Street**,,A (IRT),White Plains Road Line,"2 
   5","July 10, 1905[4]"
138th Street–Grand Concourse‡,,A (IRT),Jerome Avenue Line,"4 
   5","July 17, 1918[4]"
149th Street–Grand Concourse*[^ 2],,A (IRT),Jerome Avenue Line,4,"June 2, 1917[4]"
149th Street–Grand Concourse*‡[^ 2],,A (IRT),White Plains Road Line,"2 
   5","July 10, 1905[4]"
161st Street–Yankee Stadium*‡[^ 3],,B (IND),Concourse Line,"B 
   D","July 1, 1933[5]"
161st Street–Yankee Stadium*[^ 3],,A (IRT),Jerome Avenue Line,4,"June 2, 1917[4]"
167th Street,,B (IND),Concourse Line,"B 
   D","July 1, 1933[5]"
167th Street,,A (IRT),Jerome Avenue Line,4,"June 2, 1917[4]"
170th Street,,B (IND),Concourse Line,"B 
   D","July 1, 1933[5]"
170th Street,,A (IRT),Jerome Avenue Line,4,"June 2, 1917[4]"
174th Street,,A (IRT),White Plains Road Line,"2 
   5","November 26, 1904[4]"
174th–175th Streets,,B (IND),Concourse Line,"B 
   D","July 1, 1933[5]"
176th Street,,A (IRT),Jerome Avenue Line,4,"June 2, 1917[4]"
182nd–183rd Streets,,B (IND),Concourse Line,"B 
   D","July 1, 1933[5]"
183rd Street,,A (IRT),Jerome Avenue Line,4,"June 2, 1917[4]"
219th Street,,A (IRT),White Plains Road Line,"2 
   5","March 3, 1917[4]"
225th Street,,A (IRT),White Plains Road Line,"2 
   5","March 31, 1917[4]"
231st Street‡,,A (IRT),Broadway–Seventh Avenue Line,1,"August 1, 1908[4]"
233rd Street,,A (IRT),White Plains Road Line,"2 
   5","March 31, 1917[4]"
238th Street,,A (IRT),Broadway–Seventh Avenue Line,1,"August 1, 1908[4]"
Allerton Avenue,,A (IRT),White Plains Road Line,"2 
   5","March 3, 1917[4]"
