Fourth Avenue*[^ 3],,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Seventh Avenue,,B (BMT),Brighton Line,"B 
   Q","August 1, 1920[9]"
Seventh Avenue,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
Eighth Avenue,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Ninth Avenue,,B (BMT),West End Line,D,"June 24, 1916[9]"
Ninth Street*[^ 3],,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
15th Street–Prospect Park,,B (IND),Culver Line,"F 
   G","October 7, 1933[10]"
18th Avenue,,B (IND),Culver Line,F,"March 16, 1919[10]"
18th Avenue,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
18th Avenue,,B (BMT),West End Line,D,"June 24, 1916[9]"
20th Avenue,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
20th Avenue,,B (BMT),West End Line,D,"June 29, 1916[9]"
25th Avenue,,B (BMT),West End Line,D,"June 29, 1916[9]"
25th Street,,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
36th Street**,,B (BMT),Fourth Avenue Line,"D 
   N 
   R","June 22, 1915[9]"
45th Street,,B (BMT),Fourth Avenue Line,"N 
   R","June 22, 1915[9]"
50th Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
53rd Street,,B (BMT),Fourth Avenue Line,"N 
   R","June 22, 1915[9]"
55th Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
59th Street**,,B (BMT),Fourth Avenue Line,"N 
   R","June 22, 1915[9]"
62nd Street*[^ 4],,B (BMT),West End Line,D,"June 24, 1916[9]"
71st Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
77th Street,,B (BMT),Fourth Avenue Line,R,"January 15, 1916[9]"
79th Street,,B (BMT),West End Line,D,"June 24, 1916[9]"
86th Street,,B (BMT),Fourth Avenue Line,R,"January 15, 1916[9]"
86th Street,,B (BMT),Sea Beach Line,N,"June 22, 1915[9]"
Alabama Avenue,,B (BMT),Jamaica Line,"J 
   Z","December 21, 1916[9]"
Atlantic Avenue,,B (BMT),Canarsie Line,L,"December 28, 1906[11]"
Atlantic Avenue–Barclays Center*[^ 5],,B (BMT),Brighton Line,"B 
   Q","August 1, 1920[9]"
