Station,,Division,Line,Services,Opened [4][5][6]
First Avenue‡,,B (BMT),Canarsie Line,L,"June 30, 1924[5]"
Second Avenue,,B (IND),Sixth Avenue Line,F,"January 1, 1936[6]"
Third Avenue,,B (BMT),Canarsie Line,L,"June 30, 1924[5]"
Fifth Avenue/53rd Street,,B (IND),Queens Boulevard Line,"E 
   M","August 19, 1933[6]"
Fifth Avenue/59th Street,,B (BMT),Broadway Line,"N 
   Q 
   R","August 1, 1920[5]"
Fifth Avenue*[^ 6],,A (IRT),Flushing Line,7  <7>,"March 22, 1926[4]"
Sixth Avenue*[^ 7],,B (BMT),Canarsie Line,L,"June 30, 1924[5]"
Seventh Avenue***,,B (IND),"Sixth Avenue Line, Queens Boulevard Line","B 
   D 
   E","August 19, 1933[6]"
Eighth Avenue*†[^ 8],,B (BMT),Canarsie Line,L,"May 30, 1931[5]"
Eighth Street–New York University,,B (BMT),Broadway Line,"N 
   Q 
   R","September 4, 1917[5]"
14th Street*[^ 7],,B (IND),Sixth Avenue Line,"F 
   M","December 15, 1940[6]"
14th Street**[^ 8],,B (IND),Eighth Avenue Line,"A 
   C 
   E","September 10, 1932[6]"
14th Street**[^ 7],,A (IRT),Broadway–Seventh Avenue Line,"1 
   2 
   3","July 1, 1918[4]"
14th Street–Union Square**[^ 9],,B (BMT),Broadway Line,"N 
   Q 
   R","September 4, 1917[5]"
14th Street–Union Square*[^ 9],,B (BMT),Canarsie Line,L,"June 30, 1924[5]"
14th Street–Union Square**[^ 9],,A (IRT),Lexington Avenue Line,"4 
   5 
   6  <6>","October 27, 1904[4]"
18th Street,,A (IRT),Broadway–Seventh Avenue Line,"1 
   2","July 1, 1918[4]"
23rd Street,,B (IND),Sixth Avenue Line,"F 
   M","December 15, 1940[6]"
23rd Street,,B (IND),Eighth Avenue Line,"A 
   C 
   E","September 10, 1932[6]"
23rd Street,,B (BMT),Broadway Line,"N 
   Q 
   R","January 5, 1918[5]"
23rd Street,,A (IRT),Broadway–Seventh Avenue Line,"1 
   2","July 1, 1918[4]"
23rd Street,,A (IRT),Lexington Avenue Line,"4 
   6  <6>","October 27, 1904[4]"
28th Street,,B (BMT),Broadway Line,"N 
   Q 
   R","January 5, 1918[5]"
28th Street,,A (IRT),Broadway–Seventh Avenue Line,"1 
   2","July 1, 1918[4]"
28th Street,,A (IRT),Lexington Avenue Line,"4 
   6  <6>","October 27, 1904[4]"
33rd Street,,A (IRT),Lexington Avenue Line,"4 
   6  <6>","October 27, 1904[4]"
34th Street–Herald Square**[^ 10],,B (IND),Sixth Avenue Line,"B 
   D 
   F 
   M","December 15, 1940[6]"
34th Street–Herald Square**[^ 10],,B (BMT),Broadway Line,"N 
   Q 
   R","January 5, 1918[5]"
34th Street–Hudson Yards†,,A (IRT),Flushing Line,7  <7>,"September 13, 2015[7]"
34th Street–Penn Station**[^ 11],,B (IND),Eighth Avenue Line,"A 
   C 
   E","September 10, 1932[6]"
34th Street–Penn Station**[^ 11],,A (IRT),Broadway–Seventh Avenue Line,"1 
   2 
   3","June 3, 1917[4]"
42nd Street–Bryant Park*[^ 6],,B (IND),Sixth Avenue Line,"B 
   D 
   F 
   M","December 15, 1940[6]"
42nd Street–Port Authority Bus Terminal**[^ 12],,B (IND),Eighth Avenue Line,"A 
   C 
   E","September 10, 1932[6]"
47th–50th Streets–Rockefeller Center**,,B (IND),Sixth Avenue Line,"B 
   D 
   F 
   M","December 15, 1940[6]"
49th Street,(N),B (BMT),Broadway Line,"N 
   Q 
   R","July 10, 1919[5]"
50th Street***[^ 13],(S),B (IND),"Eighth Avenue Line, Queens Boulevard Line","A 
   C 
   E","September 10, 1932[6]"
50th Street,,A (IRT),Broadway–Seventh Avenue Line,"1 
   2","October 27, 1904[4]"
51st Street*[^ 14],,A (IRT),Lexington Avenue Line,"4 
   6  <6>","July 17, 1918[4]"
57th Street,,B (IND),Sixth Avenue Line,F,"July 1, 1968[6]"
57th Street–Seventh Avenue**†,,B (BMT),Broadway Line,"N 
   Q 
   R","July 10, 1919[5]"
59th Street**[^ 15][^ 16],,A (IRT),Lexington Avenue Line,"4 
   5 
   6  <6>","July 17, 1918[4]"
59th Street–Columbus Circle**[^ 17],,B (IND),Eighth Avenue Line,"A 
   B 
   C 
   D","September 10, 1932[6]"
59th Street–Columbus Circle*[^ 17],,A (IRT),Broadway–Seventh Avenue Line,"1 
   2","October 27, 1904[4]"
66th Street–Lincoln Center,,A (IRT),Broadway–Seventh Avenue Line,"1 
   2","October 27, 1904[4]"
68th Street–Hunter College,,A (IRT),Lexington Avenue Line,"4 
   6  <6>","July 17, 1918[4]"
72nd Street,,B (IND),Eighth Avenue Line,"A 
   B 
   C","September 10, 1932[6]"
72nd Street**,,A (IRT),Broadway–Seventh Avenue Line,"1 
   2 
   3","October 27, 1904[4]"
